class_id	p_value	class_label	p_value_adjusted	false_discovery_rate	fold_enrichment	sample_count	sample_total	background_count	background_total
GO:0016344	4.974080772108773e-18	meiotic chromosome movement towards spindle pole	2.1388547320067726e-15	None	None	8	30	9	5057
GO:0010970	3.114013008353631e-17	transport along microtubule	1.3390255935920612e-14	None	None	10	30	25	5057
GO:0030705	7.978964055009807e-17	cytoskeleton-dependent intracellular transport	3.430954543654217e-14	None	None	10	30	27	5057
GO:0007010	1.118701693026026e-16	cytoskeleton organization	4.810417280011912e-14	None	None	15	30	134	5057
GO:0005871	1.2182017566500545e-16	kinesin complex	5.238267553595234e-14	None	None	7	30	7	5057
GO:1903046	1.2722238812609416e-16	meiotic cell cycle process	5.470562689422049e-14	None	None	17	30	210	5057
GO:0099111	1.8807598994286448e-16	microtubule-based transport	8.087267567543172e-14	None	None	10	30	29	5057
GO:0003774	3.896245151205175e-16	cytoskeletal motor activity	1.6753854150182253e-13	None	None	9	30	20	5057
GO:0000022	9.70677633375011e-16	mitotic spindle elongation	4.1739138235125476e-13	None	None	7	30	8	5057
GO:0051231	9.70677633375011e-16	spindle elongation	4.1739138235125476e-13	None	None	7	30	8	5057
GO:0005856	1.0178165482344625e-15	cytoskeleton	4.376611157408189e-13	None	None	11	30	49	5057
GO:0005816	1.7018535168876544e-15	spindle pole body	7.317970122616914e-13	None	None	15	30	160	5057
GO:0005875	1.8744241751200128e-15	microtubule associated complex	8.060023953016055e-13	None	None	9	30	23	5057
GO:0006996	6.995149311709734e-15	organelle organization	3.0079142040351856e-12	None	None	21	30	519	5057
GO:0044732	8.911676818561157e-15	mitotic spindle pole body	3.8320210319812976e-12	None	None	14	30	141	5057
GO:0005819	2.0750966585592468e-14	spindle	8.922915631804761e-12	None	None	12	30	87	5057
GO:0098840	2.563807113671272e-14	protein transport along microtubule	1.102437058878647e-11	None	None	6	30	6	5057
GO:0099118	2.563807113671272e-14	microtubule-based protein transport	1.102437058878647e-11	None	None	6	30	6	5057
GO:0022414	4.024028170881591e-14	reproductive process	1.730332113479084e-11	None	None	17	30	295	5057
GO:0097435	7.176715008492984e-14	supramolecular fiber organization	3.085987453651983e-11	None	None	10	30	49	5057
GO:0043232	8.56253499728044e-14	intracellular non-membrane-bounded organelle	3.6818900488305886e-11	None	None	21	30	587	5057
GO:0043228	8.56253499728044e-14	non-membrane-bounded organelle	3.6818900488305886e-11	None	None	21	30	587	5057
GO:0031503	1.154336459750947e-13	protein-containing complex localization	4.963646776929072e-11	None	None	9	30	34	5057
GO:0051225	2.0409316507303675e-13	spindle assembly	8.77600609814058e-11	None	None	7	30	13	5057
GO:0072686	3.788182909150982e-13	mitotic spindle	1.6289186509349222e-10	None	None	11	30	81	5057
GO:0061804	7.120302747148742e-13	mitotic spindle formation (spindle phase one)	3.061730181273959e-10	None	None	6	30	8	5057
GO:0008574	7.120302747148742e-13	plus-end-directed microtubule motor activity	3.061730181273959e-10	None	None	6	30	8	5057
GO:0000235	5.296807368877487e-12	astral microtubule	2.2776271686173194e-09	None	None	6	30	10	5057
GO:1904511	5.296807368877487e-12	cytoplasmic microtubule plus-end	2.2776271686173194e-09	None	None	6	30	10	5057
GO:0070192	1.9136791954591333e-11	chromosome organization involved in meiotic cell cycle	8.228820540474273e-09	None	None	8	30	37	5057
GO:1990758	1.9566916725533845e-11	mitotic sister chromatid biorientation	8.413774191979553e-09	None	None	7	30	22	5057
GO:0031134	1.9566916725533845e-11	sister chromatid biorientation	8.413774191979553e-09	None	None	7	30	22	5057
GO:0090307	2.311642595636989e-11	mitotic spindle assembly	9.940063161239051e-09	None	None	6	30	12	5057
GO:0007019	3.095745813599952e-11	microtubule depolymerization	1.3311706998479794e-08	None	None	5	30	6	5057
GO:0055028	3.095745813599952e-11	cortical microtubule	1.3311706998479794e-08	None	None	5	30	6	5057
GO:0031109	3.095745813599952e-11	microtubule polymerization or depolymerization	1.3311706998479794e-08	None	None	5	30	6	5057
GO:0000940	3.095745813599952e-11	outer kinetochore	1.3311706998479794e-08	None	None	5	30	6	5057
GO:1990023	3.9392918562037054e-11	mitotic spindle midzone	1.6938954981675934e-08	None	None	7	30	24	5057
GO:0051233	3.9392918562037054e-11	spindle midzone	1.6938954981675934e-08	None	None	7	30	24	5057
GO:0051455	9.986794252575261e-11	monopolar spindle attachment to meiosis I kinetochore	4.294321528607362e-08	None	None	7	30	27	5057
GO:0001578	1.0790426453508555e-10	microtubule bundle formation	4.6398833750086784e-08	None	None	5	30	7	5057
GO:0051316	2.262136225677818e-10	attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation	9.727185770414618e-08	None	None	7	30	30	5057
GO:0051261	2.8655798830201227e-10	protein depolymerization	1.2321993496986528e-07	None	None	5	30	8	5057
GO:0099070	2.8655798830201227e-10	static microtubule bundle	1.2321993496986528e-07	None	None	5	30	8	5057
GO:0097427	2.8655798830201227e-10	microtubule bundle	1.2321993496986528e-07	None	None	5	30	8	5057
GO:0031122	3.033617926005541e-10	cytoplasmic microtubule organization	1.3044557081823825e-07	None	None	6	30	17	5057
GO:0051276	5.581690363943415e-10	chromosome organization	2.4001268564956685e-07	None	None	11	30	156	5057
GO:0140210	1.006896037372093e-09	protein transport along microtubule to kinetochore	4.3296529606999994e-07	None	None	4	30	4	5057
GO:0090306	1.006896037372093e-09	meiotic spindle assembly	4.3296529606999994e-07	None	None	4	30	4	5057
GO:0061673	1.006896037372093e-09	mitotic spindle astral microtubule	4.3296529606999994e-07	None	None	4	30	4	5057
GO:0070199	1.006896037372093e-09	establishment of protein localization to chromosome	4.3296529606999994e-07	None	None	4	30	4	5057
GO:0031262	1.006896037372093e-09	Ndc80 complex	4.3296529606999994e-07	None	None	4	30	4	5057
GO:0005488	1.9356322212292994e-09	binding	8.323218551285987e-07	None	None	30	30	2598	5057
GO:0140694	3.398967022922319e-09	non-membrane-bounded organelle assembly	1.461555819856597e-06	None	None	7	30	43	5057
GO:0016043	3.8964554371257115e-09	cellular component organization	1.675475837964056e-06	None	None	22	30	1134	5057
GO:0000212	5.013756421145964e-09	meiotic spindle organization	2.1559152610927643e-06	None	None	4	30	5	5057
GO:0051256	5.013756421145964e-09	mitotic spindle midzone assembly	2.1559152610927643e-06	None	None	4	30	5	5057
GO:0051255	5.013756421145964e-09	spindle midzone assembly	2.1559152610927643e-06	None	None	4	30	5	5057
GO:0071840	2.0942742942244802e-08	cellular component organization or biogenesis	9.005379465165264e-06	None	None	22	30	1234	5057
GO:0051179	3.21092949157451e-08	localization	1.3806996813770393e-05	None	None	20	30	1008	5057
GO:1990498	3.480795445786051e-08	mitotic spindle microtubule	1.496742041688002e-05	None	None	4	30	7	5057
GO:0034501	3.480795445786051e-08	protein localization to kinetochore	1.496742041688002e-05	None	None	4	30	7	5057
GO:1903083	3.480795445786051e-08	protein localization to condensed chromosome	1.496742041688002e-05	None	None	4	30	7	5057
GO:0007163	3.805046193833288e-08	establishment or maintenance of cell polarity	1.6361698633483138e-05	None	None	7	30	60	5057
GO:0070925	4.2810625361913344e-08	organelle assembly	1.840856890562274e-05	None	None	7	30	61	5057
GO:0051656	4.806577440812623e-08	establishment of organelle localization	2.066828299549428e-05	None	None	7	30	62	5057
GO:0071459	6.932935092673035e-08	protein localization to chromosome, centromeric region	2.9811620898494054e-05	None	None	4	30	8	5057
GO:0061805	1.884760212162445e-07	mitotic spindle elongation (spindle phase three)	8.104468912298514e-05	None	None	3	30	3	5057
GO:0030951	1.884760212162445e-07	establishment or maintenance of microtubule cytoskeleton polarity	8.104468912298514e-05	None	None	3	30	3	5057
GO:0007079	1.884760212162445e-07	mitotic chromosome movement towards spindle pole	8.104468912298514e-05	None	None	3	30	3	5057
GO:1990295	1.884760212162445e-07	post-anaphase microtubule array	8.104468912298514e-05	None	None	3	30	3	5057
GO:0034502	4.82235291822008e-07	protein localization to chromosome	0.00020736117548346344	None	None	4	30	12	5057
GO:0008569	7.508833967549385e-07	minus-end-directed microtubule motor activity	0.00032287986060462357	None	None	3	30	4	5057
GO:0072698	9.671755621306528e-07	protein localization to microtubule cytoskeleton	0.0004158854917161807	None	None	4	30	14	5057
GO:0032984	1.09518749689669e-06	protein-containing complex disassembly	0.00047093062366557664	None	None	5	30	33	5057
GO:0051303	1.3134472542218041e-06	establishment of chromosome localization	0.0005647823193153758	None	None	4	30	15	5057
GO:0005827	1.8696878572599315e-06	polar microtubule	0.0008039657786217706	None	None	3	30	5	5057
GO:1990942	1.8696878572599315e-06	mitotic metaphase chromosome recapture	0.0008039657786217706	None	None	3	30	5	5057
GO:0000070	2.591672459409562e-06	mitotic sister chromatid segregation	0.0011144191575461115	None	None	5	30	39	5057
GO:0000775	2.9496768446777455e-06	chromosome, centromeric region	0.0012683610432114305	None	None	5	30	40	5057
GO:0000819	3.3454773211362306e-06	sister chromatid segregation	0.0014385552480885792	None	None	5	30	41	5057
GO:0140483	3.7243963601817244e-06	kinetochore adaptor activity	0.0016014904348781414	None	None	3	30	6	5057
GO:0044380	4.566860908198091e-06	protein localization to cytoskeleton	0.001963750190525179	None	None	4	30	20	5057
GO:0140657	6.267531115921856e-06	ATP-dependent activity	0.002695038379846398	None	None	9	30	240	5057
GO:0098813	9.112641682296005e-06	nuclear chromosome segregation	0.003918435923387282	None	None	5	30	50	5057
GO:0051418	1.0344942652566405e-05	microtubule nucleation by microtubule organizing center	0.004448325340603554	None	None	3	30	8	5057
GO:0051649	1.1519509339818668e-05	establishment of localization in cell	0.004953389016122027	None	None	12	30	496	5057
GO:0007059	1.2189922885471465e-05	chromosome segregation	0.00524166684075273	None	None	5	30	53	5057
GO:0033365	1.2392913273339782e-05	protein localization to organelle	0.005328952707536107	None	None	8	30	196	5057
GO:0016887	1.4379139546158854e-05	ATP hydrolysis activity	0.0061830300048483075	None	None	8	30	200	5057
GO:1902426	1.5455274401524815e-05	deactivation of mitotic spindle assembly checkpoint	0.006645767992655671	None	None	3	30	9	5057
GO:0090619	1.5455274401524815e-05	meiotic spindle pole	0.006645767992655671	None	None	3	30	9	5057
GO:0000922	1.5455274401524815e-05	spindle pole	0.006645767992655671	None	None	3	30	9	5057
GO:0140499	2.199055800457753e-05	negative regulation of mitotic spindle assembly checkpoint signaling	0.009455939941968338	None	None	3	30	10	5057
GO:0090233	2.199055800457753e-05	negative regulation of spindle checkpoint	0.009455939941968338	None	None	3	30	10	5057
GO:1901977	2.199055800457753e-05	negative regulation of cell cycle checkpoint	0.009455939941968338	None	None	3	30	10	5057
GO:0042729	2.199055800457753e-05	DASH complex	0.009455939941968338	None	None	3	30	10	5057
GO:0090266	3.0115960146685413e-05	regulation of mitotic cell cycle spindle assembly checkpoint	0.012949862863074727	None	None	3	30	11	5057
GO:1903504	3.0115960146685413e-05	regulation of mitotic spindle checkpoint	0.012949862863074727	None	None	3	30	11	5057
GO:0090231	3.0115960146685413e-05	regulation of spindle checkpoint	0.012949862863074727	None	None	3	30	11	5057
GO:1901976	3.0115960146685413e-05	regulation of cell cycle checkpoint	0.012949862863074727	None	None	3	30	11	5057
GO:0007020	3.0115960146685413e-05	microtubule nucleation	0.012949862863074727	None	None	3	30	11	5057
GO:0140642	3.4026653116504004e-05	meiotic spindle formation (spindle phase two)	0.014631460840096722	None	None	2	30	2	5057
GO:0140641	3.4026653116504004e-05	mitotic spindle formation (spindle phase two)	0.014631460840096722	None	None	2	30	2	5057
GO:0070462	3.4026653116504004e-05	plus-end specific microtubule depolymerization	0.014631460840096722	None	None	2	30	2	5057
GO:1905759	3.4026653116504004e-05	post-anaphase array microtubule	0.014631460840096722	None	None	2	30	2	5057
GO:0035372	3.4026653116504004e-05	protein localization to microtubule	0.014631460840096722	None	None	2	30	2	5057
GO:0099609	3.4026653116504004e-05	microtubule lateral binding	0.014631460840096722	None	None	2	30	2	5057
GO:0036449	3.4026653116504004e-05	microtubule minus-end	0.014631460840096722	None	None	2	30	2	5057
GO:0000073	3.4026653116504004e-05	initial mitotic spindle pole body separation	0.014631460840096722	None	None	2	30	2	5057
GO:0016938	3.4026653116504004e-05	kinesin I complex	0.014631460840096722	None	None	2	30	2	5057
GO:0005873	3.4026653116504004e-05	plus-end kinesin complex	0.014631460840096722	None	None	2	30	2	5057
GO:0070850	3.4026653116504004e-05	TACC/TOG complex	0.014631460840096722	None	None	2	30	2	5057
GO:0061863	3.4026653116504004e-05	microtubule plus end polymerase	0.014631460840096722	None	None	2	30	2	5057
GO:0110100	3.4026653116504004e-05	spindle pole body separation	0.014631460840096722	None	None	2	30	2	5057
GO:0062033	3.999386843164589e-05	positive regulation of mitotic sister chromatid segregation	0.017197363425607733	None	None	3	30	12	5057
GO:0030952	3.999386843164589e-05	establishment or maintenance of cytoskeleton polarity	0.017197363425607733	None	None	3	30	12	5057
GO:0022411	5.4934189710804994e-05	cellular component disassembly	0.023621701575646147	None	None	5	30	72	5057
GO:0051641	5.67392535932678e-05	cellular localization	0.024397879045105153	None	None	12	30	580	5057
GO:0008104	7.679440820489698e-05	protein localization	0.0330215955281057	None	None	10	30	411	5057
GO:0070727	8.004166521583415e-05	cellular macromolecule localization	0.03441791604280868	None	None	10	30	413	5057
GO:0033036	8.867982009995363e-05	macromolecule localization	0.03813232264298006	None	None	10	30	418	5057
GO:2001252	0.00010018266928869249	positive regulation of chromosome organization	0.04307854779413777	None	None	3	30	16	5057
GO:0051417	0.00010170300730506145	microtubule nucleation by spindle pole body	0.04373229314117642	None	None	2	30	3	5057
